Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Lake Pleasant View System,WA,301,5.5,98,17.81818,-34.7833,118.15,0.000334,32.99225,0.508372,0.597529,1.00E+31,1.00E+31,1.090874,0.085796,219.8141,0.431843
Moates Lake System,WA,302,7.5,105,14,-34.9333,118.0833,0.000607,29.14471,0.347463,0.658249,1.00E+31,1.00E+31,1.1501,0.078173,167.9932,0.503474
Lake Disappointment (Savory Creek) System,WA,303,1542,35,0.022698,-23.4478,122.7946,5.36E-05,2.80836,0.331805,0.152734,1.00E+31,1.00E+31,1.322673,0.219781,506.3689,0.360221
Lake Cronin,WA,304,0.13,65,500,-119.767,32.38333,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Grace System,WA,305,132,212,1.606061,-33.0667,118.3167,2.50E-06,32.926,0.324427,0.070793,1.00E+31,1.00E+31,1.952052,0.236938,604.2204,0.717707
Anneen Lake (Lake Nannine),WA,306,120,143,1.191667,-26.8,118.1667,3.09E-07,8.504175,0.256488,0.085721,1.00E+31,1.00E+31,1.385609,0.315002,858.9571,0.482676
Breberle Lake,WA,307,7.5,4,0.533333,-26.3333,115.9667,5.82E-06,63.1809,0.21387,0.027319,1.00E+31,1.00E+31,1.315945,0.202305,719.683,0.378821
Lake Ballard,WA,308,600,44,0.073333,-29.2833,120.5667,3.83E-10,54.658,0.267636,4.88E-05,1.00E+31,1.00E+31,1.346214,0.30875,739.4419,0.490299
Lake Barlee,WA,309,1943.8,131,0.067394,-28.85,118.95,4.66E-05,56.759,0.281628,0.060514,1.00E+31,1.00E+31,1.316294,0.260961,699.8086,0.448496
Lake Marmion,WA,310,353,14,0.03966,-29.5667,121.3167,1.81E-05,27.68645,0.280502,0.113171,1.00E+31,1.00E+31,1.351727,0.283328,752.9708,0.452335
Wooleen Lake,WA,311,22,6,0.272727,-27.0667,116.1833,1.90E-07,5.07292,0.207335,0.069444,1.00E+31,1.00E+31,1.345235,0.212641,798.6581,0.396136
Drysdale River,WA,312,51,142,2.784314,-14.5333,126.7,0.000352,48.01795,0.99113,1.217179,1.00E+31,1.00E+31,0.944843,0.135443,134.2853,0.239887
Mitchell River System,WA,313,41.4,13,0.31401,-14.4833,125.4333,0.001001,42.33677,0.824851,3.68401,103.411,6.17E-05,0.729807,0.109815,70.70686,0.231559
Prince Regent River System,WA,314,143,39,0.272727,-15.2333,124.95,0.000686,21.77008,1.012593,0.669302,1.00E+31,1.00E+31,0.81631,0.12527,108.1412,0.22969
De Grey River,WA,315,136,25,0.183824,-19.9667,119.1667,8.17E-08,3.130705,0.418673,0.598453,1.00E+31,1.00E+31,1.362769,0.227897,549.5699,0.368363
Fortescue Marshes,WA,316,1000,253,0.253,-22.0833,118.1,0.000122,69.2758,0.438071,14.39856,155.672,0.04635,1.400762,0.228282,616.2155,0.392654
Karijini (Hamersley Range) Gorges,WA,317,0.8,2,2.5,-22.2167,118,3.77E-05,34.38631,0.395491,2.099116,1.00E+31,1.00E+31,1.416601,0.214783,656.9066,0.418423
Millstream Pools,WA,318,1.5,13,8.666667,-21.5833,117.0833,4.40E-05,26.9699,0.413819,34.2939,1.00E+31,1.00E+31,1.379439,0.218434,567.3813,0.397873
Benger Swamp,WA,319,5.72,34,5.944056,-33.1667,115.8333,0.000246,7.54927,0.772115,0.327246,1.00E+31,1.00E+31,1.061179,0.085158,147.8596,0.445696
Booragoon Lake,WA,320,0.13,9,69.23077,-32.05,115.8333,0.000429,21.5158,0.292435,1.77694,637.522,5.37054,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Brixton Street Swamps,WA,321,0.3,444,1480,-32.0333,115.9667,0.000586,6.21977,0.352713,4.03084,1.00E+31,25.5451,0.986088,0.064709,130.4916,0.368651
Chandala Swamp,WA,322,1,20,20,-31.5,115.9667,0.000572,29.1256,0.483263,1.11504,2.55907,0.487889,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Ellen Brook Swamps System,WA,323,0.2,36,180,-31.75,116.0333,0.00064,38.0643,0.488285,46.5116,34.5263,0.421108,1.662284,0.096457,280.8618,0.543145
Gibbs Road Swamp System,WA,324,0.7,499,712.8571,-32.1333,115.8667,0.000656,14.65471,0.51516,0.672278,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Guraga Lake,WA,325,3.5,8,2.285714,-30.8667,115.5667,4.81E-05,13.8816,0.504178,0.088301,1.00E+31,1.00E+31,1.183216,0.091721,238.42,0.395403
Herdsman Lake,WA,326,2.5,119,47.6,-31.9167,115.8,0.001289,20.1362,0.269119,3.02528,914.001,9.90951,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Joondalup Lake,WA,327,5.3,70,13.20755,-31.75,115.7833,0.000828,32.3381,0.425592,1.44711,717.577,7.78176,1.631658,0.145252,210.8755,0.900951
Lake McLarty System,WA,328,4,28,7,-32.6333,115.7,0.001474,4.492295,0.900269,75.0108,28.68395,0.150644,1.389884,0.097434,135.3943,0.59075
Loch McNess System,WA,329,2.55,76,29.80392,-31.5333,115.6833,8.86E-05,34.9135,0.722194,0.326247,205.364,4.94322,1.195103,0.100821,206.7552,0.40167
McCarley’s Swamp (Ludlow Swamp),WA,330,0.25,1,4,-33.6,115.5,0.001268,5.88504,0.353175,1.19854,1.00E+31,1.00E+31,0.890789,0.073878,188.0771,0.409182
Perth Airport Woodland Swamps,WA,331,0.23,12,52.17391,-31.9167,115.8333,0.001293,20.1362,0.326768,68.7845,474.573,0.684285,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Rottnest Island Lakes,WA,332,1.8,29,16.11111,-32,115.5167,1.00E+31,1.34258,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Spectacles Swamp,WA,333,1.42,16,11.26761,-32.2167,115.8333,0.000359,15.5625,0.629193,0.446745,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Thomsons Lake,WA,334,2.13,32,15.02347,-32.15,115.8333,0.000482,20.3301,0.602215,0.471943,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Vasse—Wonnerup Wetland System,WA,335,10,67,6.7,-33.5833,115.35,0.001059,41.78625,0.405085,5.32123,1.00E+31,1.00E+31,1.222238,0.165579,194.7431,0.67015
Wannamal Lake System,WA,336,4.7,73,15.53191,-31.0667,116.0167,0.000173,21.94476,0.502331,4.561603,39.3548,0.751081,1.874094,0.152758,442.751,0.591477
Yalgorup Lakes System,WA,337,56,167,2.982143,-32.7167,115.6167,0.001047,10.89654,0.585467,37.79592,168.667,0.184118,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Gregory System,WA,338,387,54,0.139535,-20.05,127.1667,-1.95E-09,34.5144,0.475409,2.64E-05,1.00E+31,1.00E+31,1.261867,0.200757,319.0459,0.299422
Lake Kununurra,WA,339,25,205,8.2,-15.7833,128.6833,0.000385,34.92093,0.83054,4.31041,126.356,0.532442,1.223808,0.201892,291.5336,0.276022
Parry Floodplain,WA,340,90,148,1.644444,-15.4667,128.2,0.000163,24.39465,0.924815,0.296865,113.625,0.008948,1.084492,0.250541,199.2256,0.260499
Blackwood River (Lower Reaches) and Tributaries System,WA,341,6.2,40,6.451613,-34.0667,115.1167,0.001345,28.6855,0.45239,2.941375,1.00E+31,1.00E+31,1.075417,0.086733,129.2306,0.42228
Broke Inlet System,WA,342,48.65,73,1.500514,-34.5,116.35,0.000655,24.51555,0.839718,0.591655,1.00E+31,1.00E+31,0.879251,0.07944,215.9463,0.34188
Doggerup Creek System,WA,343,25.24,488,19.33439,-34.7,115.9667,0.000721,62.09555,0.851128,3.33671,1.23127,0.088713,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Gingilup—Jasper Wetland System,WA,344,16,38,2.375,-34.3333,115.4667,0.000503,15.46352,0.820266,3.3284,1.00E+31,1.00E+31,0.606325,0.072217,122.3365,0.260683
Maringup Lake,WA,345,2.86,5,1.748252,-34.8333,116.2,1.00E+31,17.6777,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.704685,0.064057,91.01211,0.250858
Mt. Soho Swamps,WA,346,0.5,6,12,-34.7833,116.95,0.001097,18.21185,0.665002,0.943912,4.13952,0.021164,0.730499,0.068783,125.4892,0.289605
Owingup Swamp System,WA,347,10.5,26,2.47619,-34.9667,117.0333,0.000619,11.77255,0.702642,7.01292,4.58293,0.691078,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Thundelarra Lignum Swamp,WA,348,1.35,7,5.185185,-28.95,117.1833,3.38E-06,4.99021,0.28727,0.121084,1.00E+31,1.00E+31,1.435105,0.25885,730.9984,0.514715
Gladstone Lake,WA,349,1,6,6,-17.1833,126.2333,6.45E-05,11.3808,0.812823,0.145257,123.831,0.086805,1.174072,0.141524,247.9584,0.245675
Lake Bryde—East Lake Bryde,WA,350,1.35,2,1.481481,-33.35,118.8167,4.99E-06,16.4671,0.292108,0.246709,1.00E+31,1.00E+31,1.769815,0.200037,561.3175,0.600123
Mt. Bruce Coolibah—Lignum flats,WA,351,0.82,7,8.536585,-22.6333,118.2167,4.64E-05,6.13955,0.38103,0.465883,1.00E+31,1.00E+31,1.424012,0.267065,758.5098,0.444384
"Palmer Barracks, Guildford C",WA,352,0.05,59,1180,-32.5167,116.6333,4.54E-05,62.9813,0.496835,0.060736,1.00E+31,1.00E+31,1.41347,0.094585,276.9086,0.426778
Bowling Green Bay,QLD,353,325.41,371,1.1401,-19.4619,147.1478,0.001405,3.15776,0.455204,1.00E+31,23.9731,0.254004,1.233006,0.152304,282.0648,0.440824
Burdekin - Townsville Coastal Aggregation,QLD,354,1491.97,497,0.333117,-19.4619,147.1478,0.001405,3.15776,0.455204,20.5674,23.9731,0.254004,1.233006,0.152304,282.0648,0.440824
Lake Elphinstone,QLD,355,3,23,7.666667,-21.5336,148.2431,1.23E-05,57.982,0.594592,0.023283,1.00E+31,1.00E+31,1.314829,0.131055,501.508,0.354306
Boggomoss Springs,QLD,356,4,29,7.25,-25.4167,150.1667,3.68E-06,44.6084,0.610961,0.230912,64.0322,1.0132,1.31228,0.113356,439.9995,0.351054
Fitzroy River Floodplain,QLD,357,195,891,4.569231,-23.2928,150.4422,1.39E-05,3.38397,0.824599,167.813,108.135,0.120143,1.235012,0.129126,419.82,0.382511
Hedlow Wetlands,QLD,358,111.01,113,1.017926,-23.0506,150.5539,0.000477,9.70795,0.563458,3.94313,1.00E+31,1.00E+31,1.039904,0.124501,227.7302,0.362311
Lake Broadwater,QLD,359,2.15,14,6.511628,-27.3564,151.1011,1.50E-05,5.5366,0.514586,0.222387,1.00E+31,1.00E+31,1.757306,0.138668,572.6618,0.527047
Lake Nuga Nuga,QLD,360,20.69,56,2.706622,-25.0094,148.6903,3.66E-05,8.47386,0.546785,2.81656,2.33622,0.55786,1.307191,0.134601,506.075,0.347331
Palm Tree and Robinson Creeks,QLD,361,502.74,240,0.477384,-25.3947,149.7894,1.11E-05,25.2808,0.622423,1.00432,1.00E+31,1.00E+31,1.397489,0.139932,599.3156,0.377074
The Gums Lagoon,QLD,362,3.43,149,43.44023,-27.335,150.1964,5.28E-06,4.12384,0.443069,0.83868,41.0676,0.63571,1.81109,0.168048,734.4433,0.567385
Birdsville - Durrie Waterholes Aggregation,QLD,363,326.56,23,0.070431,-25.6331,140,1.19E-06,4.79307,0.216119,4.52353,1.00E+31,1.00E+31,1.462038,0.28416,676.8737,0.42424
Bulloo Lake,QLD,364,832.27,14,0.016821,-28.8619,142.3253,7.47E-21,8.15373,0.214687,1.32E-08,1.00E+31,1.00E+31,1.379081,0.259734,831.545,0.494723
Cooper Creek Overflow Swamps - Windorah,QLD,365,1248.53,115,0.092108,-25.5831,142.4167,-4.55E-13,7.93648,0.247365,2.00E-09,1.00E+31,1.00E+31,1.373684,0.26479,755.4322,0.412984
Cooper Creek Swamps - Nappa Merrie,QLD,366,1063.11,46,0.043269,-27.6,141.5831,3.54E-08,8.6105,0.291963,101.894,1.00E+31,1.00E+31,1.379956,0.248741,644.5833,0.420612
Cooper Creek - Wilson River Junction,QLD,367,639.25,15,0.023465,-27.8331,142,1.02E-05,3.5406,0.210519,0.070276,1.00E+31,1.00E+31,1.455989,0.336465,886.2384,0.545846
Diamantina Lakes Area,QLD,368,3.93,19,4.834606,-23.6883,141.1108,-2.79E-10,10.8209,0.290922,5.31534,1.00E+31,1.00E+31,1.352749,0.229644,642.3891,0.391874
Diamantina Overflow Swamp - Durrie Station,QLD,369,291.96,5,0.017126,-25.6331,140.3997,-8.45E-11,3.63083,0.197995,0.001734,1.00E+31,1.00E+31,1.440416,0.267462,644.3924,0.457422
Georgina River - King Creek Floodout,QLD,370,1383.47,18,0.013011,-24.25,139.6667,-3.07E-11,8.55277,0.216745,1.07E-07,1.00E+31,1.00E+31,1.401854,0.222079,694.4583,0.38245
Lake Bullawarra,QLD,371,12.87,14,1.087801,-27.9039,143.5908,5.09E-07,6.59384,0.280472,0.022329,1.00E+31,1.00E+31,1.411095,0.313165,868.3055,0.476544
Lake Constance,QLD,372,18.41,7,0.380228,-23.8647,140.99,-1.48E-14,7.79405,0.258207,3.45E-08,1.00E+31,1.00E+31,1.38118,0.238212,708.4753,0.411153
Lake Cuddapan,QLD,373,17.04,4,0.234742,-25.7256,141.445,-8.92E-15,17.937,0.217791,1.15E-07,1.00E+31,1.00E+31,1.373755,0.318478,738.7689,0.456235
Lake Mipia Area,QLD,374,696.91,115,0.165014,-24.8744,139.605,2.05E-06,7.87313,0.204139,0.032785,1.00E+31,1.00E+31,1.475346,0.30389,655.1315,0.515485
Lake Phillipi,QLD,375,160.86,9,0.055949,-24.3556,138.9864,6.33E-16,5.3122,0.19903,3.00E-09,1.00E+31,1.00E+31,1.416647,0.206425,380.1547,0.470278
Lake Torquinie Area,QLD,376,152.42,14,0.091851,-24.5,138.7167,-4.21E-10,6.31471,0.212989,4.32906,1.00E+31,1.00E+31,1.348266,0.182159,359.3366,0.340909
Lake Yamma Yamma,QLD,377,865.48,14,0.016176,-26.3331,141.4331,1.67E-05,3.55496,0.213076,0.219935,1.00E+31,1.00E+31,1.422453,0.305424,744.763,0.502197
Moonda Lake - Shallow Lake Aggregation,QLD,378,147.38,10,0.067852,-25.7944,140.2889,1.03E-14,12.8224,0.19799,0,1.00E+31,1.00E+31,1.434084,0.339014,719.462,0.474018
Mulligan River - Wheeler Creek Junction,QLD,379,170.14,198,1.163748,-23.9144,138.6333,-8.75E-13,9.71888,0.232535,4.70277,159.678,0.027303,1.260012,0.182593,360.528,0.349689
Muncoonie Lakes Area,QLD,380,887.67,96,0.108148,-25,138.6778,2.85E-12,9.98356,0.170745,6.01E-10,1.00E+31,1.00E+31,1.292719,0.184361,261.6626,0.333248
Nooyeah Downs Swamps Aggregation,QLD,381,62.41,2,0.032046,-28,143.5,-4.40E-10,4.0184,0.328839,23.1636,1.00E+31,1.00E+31,1.43684,0.288363,880.8496,0.498245
Toko Gorge and Waterhole,QLD,382,2.43,25,10.28807,-22.775,138.0261,4.23E-06,52.2264,0.229925,0.146943,1.00E+31,1.00E+31,1.296024,0.191759,500.5379,0.365258
Corio Bay Wetlands,QLD,383,69.09,182,2.634245,-22.9586,150.7531,1.00E+31,1.44619,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Dismal Swamp—Water Park Creek,QLD,384,10,228,22.8,-22.7592,150.6811,0.000879,36.2916,0.872519,4.18061,1.00E+31,1.00E+31,0.846831,0.094552,95.55037,0.24656
Eungella Dam,QLD,385,7.97,15,1.882058,-21.1689,148.4017,5.73E-05,81.2957,0.808286,2.29519,64.0048,0.001048,1.049403,0.114887,218.1946,0.315941
Proserpine—Goorganga Plain,QLD,386,168.51,197,1.16907,-20.4961,148.6681,0.001877,50.8542,0.861524,40.9789,232.91,0.522234,0.913236,0.116099,183.3759,0.287636
Archer Bay Aggregation,QLD,387,299.11,270,0.902678,-13.3472,141.6886,0.002438,4.67736,0.911488,11.5095,1.00E+31,1.00E+31,1.126006,0.16009,129.2525,0.27747
Archer River Aggregation,QLD,388,1497.61,283,0.188968,-13.5494,142.1719,0.001063,9.17841,1.11062,128.791,80.9152,0.000546,0.904526,0.124102,110.407,0.256859
Cape Flattery Dune Lakes,QLD,389,440.34,329,0.74715,-14.9764,145.2092,0.00245,11.6239,0.495302,2.68658,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Cape Grenville Area,QLD,390,73.04,47,0.643483,-11.9817,143.1614,0.002253,10.6199,0.716385,2.41741,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Cape Melville—Bathurst Bay,QLD,391,54.8,140,2.554745,-14.3492,144.4456,0.00041,10.7351,0.970413,0.394908,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Harmer Creek - Shelburne Bay Aggregation,QLD,392,317.51,178,0.560612,-11.9789,143.0414,0.002839,5.95521,0.492665,5.45201,1.00E+31,1.00E+31,0.846819,0.087534,73.94224,0.23483
Jardine River Wetlands Aggregation,QLD,393,817.4,331,0.404943,-11.0306,142.2358,0.003463,2.74528,0.499982,3.56449,1.00E+31,1.00E+31,0.853649,0.092038,88.86568,0.221974
Marina Plains—Lakefield Aggregation,QLD,394,3923.33,886,0.225829,-14.8272,144.0761,0.000361,1.60298,0.968379,0.349537,109.006,0.001599,1.090878,0.149417,162.2384,0.262208
Newcastle Bay - Escape River Estuarine Complex,QLD,395,423.07,222,0.524736,-10.9192,142.5817,0.003229,4.15078,0.460462,3.76362,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Northern Holroyd Plain Aggregation,QLD,396,11143.24,306,0.027461,-14.4706,141.9117,0.001489,2.81213,1.01884,5.19689,1.00E+31,1.00E+31,1.017235,0.133896,132.5095,0.266933
Olive River,QLD,397,176.09,227,1.289114,-12.1189,143.0356,0.001921,6.2666,0.737115,52.8127,51.8905,0.001088,0.822025,0.102784,84.1109,0.241946
Orford Bay - Sharp Point Dunefield Aggregation,QLD,398,172.39,105,0.609084,-11.2017,142.7519,0.001961,11.5881,1.13006,4.9135,1.00E+31,1.00E+31,0.887862,0.118504,88.06287,0.241182
Silver Plains - Nesbitt River Aggregation,QLD,399,448.34,531,1.184369,-13.7422,143.5089,0.001022,1.88889,0.959405,1.04291,1.00E+31,1.00E+31,0.735008,0.089647,96.2865,0.207221
Skardon River - Cotterell River Aggregation,QLD,400,631.94,127,0.200968,-11.6217,142.0817,0.002957,3.4754,0.576586,70.0579,59.8245,0.001076,0.983812,0.121924,92.43879,0.250893
Somerset Dunefield Aggregation,QLD,401,80.95,238,2.940086,-10.8392,142.4931,0.002585,17.3025,0.50527,11.688,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
The Jack Lakes Aggregation,QLD,402,350.54,155,0.442175,-14.8872,144.5025,0.000805,1.91339,1.05869,0.809843,93.9622,0,0.806037,0.097287,89.85109,0.23233
Violet Vale,QLD,403,18.96,32,1.687764,-14.7258,143.6081,0.000461,4.95307,1.00644,0.448104,108.92,0.01259,1.032297,0.137166,148.8972,0.277669
Aramac Springs,QLD,404,4,75,18.75,-22.7331,145.4331,8.18E-07,23.5251,0.480671,0.000446,1.00E+31,1.00E+31,1.321414,0.182771,722.4613,0.35767
Cauckingburra Swamp,QLD,405,7.82,6,0.767263,-21.4819,145.8772,1.76E-05,15.1853,0.521812,0.247357,1.00E+31,1.00E+31,1.240773,0.167677,507.816,0.294712
Doongmabulla Springs,QLD,406,3.99,94,23.5589,-22.095,146.2431,1.99E-05,15.9699,0.450694,2.36991,1.19619,0.628836,1.263995,0.160912,623.4878,0.296704
Lake Buchanan,QLD,407,232.01,66,0.28447,-21.6239,145.8717,1.70E-05,2.39163,0.498756,2.76849,146.632,0.119176,1.26958,0.160216,559.9326,0.322788
Lake Galilee,QLD,408,257.78,70,0.271549,-22.3325,145.8231,8.52E-06,15.5641,0.44373,0.152682,1.00E+31,1.00E+31,1.355922,0.152853,669.1791,0.385154
Balonne River Floodplain,QLD,409,240,280,1.166667,-28.1989,148.5222,9.80E-05,5.49691,0.56018,92.3353,32.6829,0.027234,1.700405,0.191107,815.4329,0.532414
Blencoe Falls—Blencoe Creek,QLD,410,0.87,25,28.73563,-18.2111,145.5367,0.000857,133.129,1.16991,26.1127,8.82393,0.101624,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Great Basalt Wall,QLD,411,1002.53,380,0.379041,-19.9331,145.5922,1.81E-05,13.4345,0.625603,4.68383,10.8453,0.089194,1.178493,0.12055,358.5486,0.260337
Herbert River Gorge,QLD,412,215.36,248,1.15156,-18.3189,145.6539,0.000933,152.873,1.25216,34.7313,10.1052,0.085349,0.947015,0.104255,232.2338,0.313571
Innot Hot Springs,QLD,413,0.78,8,10.25641,-17.6678,145.2383,0.000128,21.4447,0.993003,2.36111,1.38689,0.243249,0.882581,0.071805,131.2329,0.19482
Lake Lucy Wetlands,QLD,414,10.78,7,0.649351,-18.5586,145.2458,2.30E-05,30.5625,0.695906,4.0887,19.2936,0.0472,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Laura Sandstone,QLD,415,10.9,6,0.550459,-15.7708,144.2528,0.000338,82.7055,0.943858,0.277102,114.989,0.015154,1.049947,0.119654,149.708,0.232989
Minnamoolka Area,QLD,416,5.89,27,4.584041,-18.1994,145.1144,4.69E-05,22.741,0.782055,0.113619,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Poison Lake,QLD,417,7.85,1,0.127389,-18.8417,145.0861,2.60E-05,49.3799,0.684741,0.071216,1.00E+31,1.00E+31,1.180639,0.119989,335.8174,0.23335
Undara Lava Tubes,QLD,418,12.54,62,4.944179,-18.2489,144.5231,0.000167,36.1717,0.67636,0.306964,1.00E+31,1.00E+31,1.131849,0.113717,202.5496,0.207726
Valley of Lagoons,QLD,419,36.45,109,2.990398,-18.6647,145.0742,1.07E-05,16.5672,0.683001,0.073006,1.00E+31,1.00E+31,1.158346,0.118407,314.3662,0.24821
Wairuna Lake,QLD,420,1.52,9,5.921053,-18.4361,145.3825,5.01E-05,33.3686,0.792821,2.61585,26.9672,0.047037,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Walters Plains Lake,QLD,421,15.48,4,0.258398,-18.3539,145.2239,5.38E-05,34.7615,0.784158,0.110382,1.00E+31,1.00E+31,0.749599,0.081676,154.4694,0.18333
Lawn Hill Gorge,QLD,422,11.33,216,19.06443,-18.7022,138.4817,5.71E-05,38.6978,0.533534,2.82777,1.00E+31,1.00E+31,1.25414,0.155519,337.3632,0.277048
Bluebush Swamp,QLD,423,8.79,1,0.113766,-18.1597,138.9961,5.40E-05,4.34965,0.674883,0.056923,1.00E+31,1.00E+31,1.429471,0.155354,420.4341,0.305254
Buffalo Lake Aggregation,QLD,424,19.09,2,0.104767,-17.8861,140.3047,0.000169,2.85572,0.754762,0.159278,1.00E+31,1.00E+31,1.385469,0.177821,375.4737,0.333708
Dorunda Lakes Area,QLD,425,68.01,27,0.397,-16.5556,141.9028,0.000223,1.49479,0.953322,0.242274,1.00E+31,1.00E+31,1.127355,0.15201,159.1444,0.269641
Lignum Swamp,QLD,426,2.82,6,2.12766,-20.1064,141.0556,1.45E-05,8.19318,0.464717,0.10641,1.00E+31,1.00E+31,1.304238,0.171785,489.0645,0.334116
Marless Lagoon Aggregation,QLD,427,1670.09,122,0.07305,-17.5267,138.935,0.000182,1.31437,0.679617,0.192937,1.00E+31,1.00E+31,1.028919,0.13057,160.3844,0.276304
Mitchell River Fan Aggregation,QLD,428,7148.86,449,0.062807,-15.7831,142.1781,0.000544,2.36314,1.20361,225.403,7.40993,0.002187,1.109958,0.149041,156.8444,0.283706
Musselbrook Creek Aggregation,QLD,429,451.57,76,0.168302,-18.2922,138.4911,6.08E-05,13.2435,0.715069,5.79089,139.126,0.030822,1.122621,0.13162,189.5627,0.243319
Nicholson Delta Aggregation,QLD,430,636.4,192,0.301697,-17.6714,139.4247,0.000212,2.09163,0.865576,47.3143,129.737,0.017458,1.398114,0.201393,340.958,0.337372
Smithburne - Gilbert Fan Aggregation,QLD,431,2503.2,184,0.073506,-17.1103,141.4444,0.000163,1.78793,0.876217,0.248761,1.00E+31,1.00E+31,1.312962,0.180185,298.8487,0.289345
Wentworth Aggregation,QLD,432,824.3,351,0.425816,-16.9647,138.1517,0.000583,1.61093,0.805226,21.6662,115.015,0.007206,0.988437,0.123769,140.5996,0.242805
Austral Limestone Aggregation,QLD,433,693.95,22,0.031703,-21.5022,138.5083,1.05E-12,3.88737,0.314635,0,1.00E+31,1.00E+31,1.358079,0.178001,659.7372,0.379364
Elizabeth Springs,QLD,434,4,49,12.25,-23.3331,140.5831,1.97E-19,25.4549,0.25952,6.42E-07,1.00E+31,1.00E+31,1.346942,0.205712,664.2013,0.392435
Gregory River,QLD,435,266.39,188,0.705732,-18.8725,139.0739,1.92E-05,9.26526,0.624813,5.16495,139.22,0.050402,1.242739,0.144042,363.7614,0.284204
Thorntonia Aggregation,QLD,436,2988.88,354,0.118439,-19.0889,138.4597,0.000122,25.5345,0.364684,2.5753,143.916,0.094668,1.333522,0.170637,543.0719,0.326794
Lake Numalla Aggregation,QLD,437,107.24,18,0.167848,-28.7431,144.3606,1.04E-05,6.63849,0.230739,0.419531,1.00E+31,1.00E+31,1.429738,0.336301,805.5034,0.479779
Lake Wyara,QLD,438,60.2,49,0.813953,-28.6994,144.2278,-5.35E-13,8.63914,0.292027,2.63588,1.00E+31,1.00E+31,1.359678,0.247602,867.8434,0.453434
Lakes Bindegolly and Toomaroo,QLD,439,96.77,170,1.756743,-28.0339,144.2078,8.39E-06,6.07663,0.313877,4.00918,1.00E+31,1.00E+31,1.358493,0.239717,779.5559,0.423767
Carbrook Wetlands Aggregation,QLD,440,3.29,19,5.775076,-27.6811,153.2539,8.11E-05,6.96168,1.09985,17.0292,225.738,6.98501,1.140618,0.084428,122.6591,0.467441
Conondale Range Aggregation,QLD,441,19.83,555,27.9879,-26.7103,152.6067,0.000133,272.706,1.18044,0.200245,1.00E+31,1.00E+31,1.266039,0.107303,345.504,0.393692
Fraser Island,QLD,442,1632.94,16,0.009798,-25.2369,153.1236,0.000108,74.1181,1.25524,0.106018,1.00E+31,1.00E+31,1.079289,0.11249,237.1738,0.407216
Lake Weyba,QLD,443,28.6,575,20.1049,-26.4411,153.0781,0.001391,13.1163,0.952753,1.21608,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Moreton Bay,QLD,444,3001.77,1641,0.546677,-27.3336,153.2931,1.00E+31,0.061772,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Noosa River Wetlands,QLD,445,99.45,929,9.341378,-26.27,153.02,0.00045,4.18396,1.27564,2.11866,83.4682,0.572015,0.976523,0.080785,141.9521,0.393803
Alexandra Palm Forest,QLD,446,1.46,17,11.64384,-17.2803,145.9464,0.005318,70.2474,0.866856,5.38378,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Birthday Creek,QLD,447,0.43,14,32.55814,-18.9883,146.1722,0.00147,260.069,1.01824,2.08571,103.697,0.000545,0.826871,0.089586,203.2303,0.207912
